gift_no,donor_id,amount,gift_date,pledge_no
1,9,700,2011-01-01,0
2,11,700,2011-01-01,0
3,30,100,2011-01-01,0
4,54,800,2011-01-01,0
5,63,6000,2011-01-01,0
6,77,100,2011-01-01,0
7,87,5000,2011-01-01,0
8,108,5000,2011-01-01,0
9,114,300,2011-01-01,0
10,119,1500,2011-01-01,0
11,135,2500,2011-01-01,0
12,138,1000,2011-01-01,0
13,154,5000,2011-01-01,0
14,168,500,2011-01-01,0
15,174,500,2011-01-01,0
16,239,4000,2011-01-01,0
17,241,2500,2011-01-01,0
18,280,200,2011-01-01,0
19,281,600,2011-01-01,0
20,291,900,2011-01-01,0
21,306,100,2011-01-01,0
22,308,800,2011-01-01,0
23,344,200,2011-01-01,0
24,345,3000,2011-01-01,0
25,375,400,2011-01-01,0
26,379,1000,2011-01-01,0
27,381,800,2011-01-01,0
28,388,800,2011-01-01,0
29,437,5000,2011-01-01,0
30,454,900,2011-01-01,0
31,460,7000,2011-01-01,0
32,470,1000,2011-01-01,0
33,506,7000,2011-01-01,0
34,538,300,2011-01-01,0
35,556,300,2011-01-01,0
36,559,200,2011-01-01,0
37,581,2500,2011-01-01,0
38,601,100,2011-01-01,0
39,610,800,2011-01-01,0
40,668,1500,2011-01-01,0
41,691,200,2011-01-01,0
42,692,300,2011-01-01,0
43,700,2500,2011-01-01,0
44,720,300,2011-01-01,0
45,738,1500,2011-01-01,0
46,752,600,2011-01-01,0
47,801,4000,2011-01-01,0
48,802,3000,2011-01-01,0
49,803,400,2011-01-01,0
50,822,500,2011-01-01,0
51,835,800,2011-01-01,0
52,852,1000,2011-01-01,0
53,854,600,2011-01-01,0
54,856,2000,2011-01-01,0
55,867,5000,2011-01-01,0
56,870,300,2011-01-01,0
57,889,200,2011-01-01,0
58,895,6000,2011-01-01,0
59,902,5000,2011-01-01,0
60,904,400,2011-01-01,0
61,921,4000,2011-01-01,0
62,927,700,2011-01-01,0
63,961,300,2011-01-01,0
64,977,5000,2011-01-01,0
65,986,2500,2011-01-01,0
66,117,2000,2011-01-04,
67,529,300,2011-01-06,
68,377,700,2011-01-31,
69,604,2083.33,2011-02-06,100
70,675,100,2011-02-07,
71,212,100,2011-02-18,
72,880,375,2011-02-19,101
73,491,500,2011-02-25,
74,724,100,2011-02-25,
75,996,1458.33,2011-03-01,102
76,604,2083.33,2011-03-06,100
77,220,83.33,2011-03-08,103
78,495,458.33,2011-03-10,104
79,461,1250,2011-03-14,105
80,486,500,2011-03-14,106
81,880,375,2011-03-19,101
82,719,100,2011-03-29,
83,955,200,2011-03-29,
84,996,1458.33,2011-04-01,102
85,149,400,2011-04-06,
86,604,2083.33,2011-04-06,100
87,220,83.33,2011-04-08,103
88,338,700,2011-04-08,
89,397,416.67,2011-04-08,107
90,495,458.33,2011-04-10,104
91,461,1250,2011-04-14,105
92,828,400,2011-04-15,
93,658,200,2011-04-18,
94,365,700,2011-04-19,
95,880,375,2011-04-19,101
96,576,416.67,2011-04-21,108
97,915,2083.33,2011-04-23,109
98,216,200,2011-04-29,
99,996,1458.33,2011-05-01,102
100,604,2083.33,2011-05-06,100
101,220,83.33,2011-05-08,103
102,397,416.67,2011-05-08,107
103,495,458.33,2011-05-10,104
104,324,100,2011-05-13,
105,461,1250,2011-05-14,105
106,526,2083.33,2011-05-18,110
107,811,458.33,2011-05-18,111
108,880,375,2011-05-19,101
109,576,416.67,2011-05-21,108
110,761,100,2011-05-22,
111,915,2083.33,2011-05-23,109
112,334,100,2011-05-25,
113,996,1458.33,2011-06-01,102
114,180,300,2011-06-03,
115,604,2083.33,2011-06-06,100
116,220,83.33,2011-06-08,103
117,372,2500,2011-06-08,
118,397,416.67,2011-06-08,107
119,88,1041.67,2011-06-09,113
120,891,100,2011-06-09,112
121,495,458.33,2011-06-10,104
122,461,1250,2011-06-14,105
123,526,2083.33,2011-06-18,110
124,811,458.33,2011-06-18,111
125,812,400,2011-06-18,
126,880,375,2011-06-19,101
127,576,416.67,2011-06-21,108
128,915,2083.33,2011-06-23,109
129,996,1458.33,2011-07-01,102
130,364,100,2011-07-05,
131,332,100,2011-07-06,
132,604,2083.33,2011-07-06,100
133,220,83.33,2011-07-08,103
134,397,416.67,2011-07-08,107
135,88,1041.67,2011-07-09,113
136,465,125,2011-07-10,114
137,495,458.33,2011-07-10,104
138,818,400,2011-07-13,115
139,930,600,2011-07-13,
140,461,1250,2011-07-14,105
141,526,2083.33,2011-07-18,110
142,811,458.33,2011-07-18,111
143,880,375,2011-07-19,101
144,448,300,2011-07-20,116
145,576,416.67,2011-07-21,108
146,915,2083.33,2011-07-23,109
147,331,300,2011-07-27,117
148,373,100,2011-07-27,
149,232,300,2011-07-29,
150,996,1458.33,2011-08-01,102
151,304,500,2011-08-02,
152,333,200,2011-08-04,
153,604,2083.33,2011-08-06,100
154,220,83.33,2011-08-08,103
155,397,416.67,2011-08-08,107
156,88,1041.67,2011-08-09,113
157,465,125,2011-08-10,114
158,495,458.33,2011-08-10,104
159,818,400,2011-08-13,115
160,461,1250,2011-08-14,105
161,710,1500,2011-08-17,
162,526,2083.33,2011-08-18,110
163,811,458.33,2011-08-18,111
164,880,375,2011-08-19,101
165,254,100,2011-08-21,
166,576,416.67,2011-08-21,108
167,915,2083.33,2011-08-23,109
168,155,1458.33,2011-08-25,118
169,924,100,2011-08-25,
170,363,800,2011-08-27,
171,634,600,2011-08-31,
172,996,1458.33,2011-09-01,102
173,604,2083.33,2011-09-06,100
174,220,83.33,2011-09-08,103
175,397,416.67,2011-09-08,107
176,88,1041.67,2011-09-09,113
177,465,125,2011-09-10,114
178,495,458.33,2011-09-10,104
179,461,1250,2011-09-14,105
180,526,2083.33,2011-09-18,110
181,811,458.33,2011-09-18,111
182,826,100,2011-09-18,
183,894,400,2011-09-18,
184,880,375,2011-09-19,101
185,576,416.67,2011-09-21,108
186,915,2083.33,2011-09-23,109
187,155,1458.33,2011-09-25,118
188,926,416.67,2011-10-01,119
189,996,1458.33,2011-10-01,102
190,972,300,2011-10-03,
191,604,2083.33,2011-10-06,100
192,220,83.33,2011-10-08,103
193,289,400,2011-10-08,
194,397,416.67,2011-10-08,107
195,88,1041.67,2011-10-09,113
196,844,900,2011-10-09,
197,465,125,2011-10-10,114
198,495,458.33,2011-10-10,104
199,864,1000,2011-10-10,
200,461,1250,2011-10-14,105
201,695,300,2011-10-14,120
202,528,83.33,2011-10-15,121
203,526,2083.33,2011-10-18,110
204,811,458.33,2011-10-18,111
205,880,375,2011-10-19,101
206,576,416.67,2011-10-21,108
207,915,2083.33,2011-10-23,109
208,155,1458.33,2011-10-25,118
209,926,416.67,2011-11-01,119
210,996,1458.33,2011-11-01,102
211,399,375,2011-11-03,122
212,604,2083.33,2011-11-06,100
213,220,83.33,2011-11-08,103
214,397,416.67,2011-11-08,107
215,88,1041.67,2011-11-09,113
216,465,125,2011-11-10,114
217,495,458.33,2011-11-10,104
218,101,600,2011-11-14,
219,461,1250,2011-11-14,105
220,695,300,2011-11-14,120
221,528,83.33,2011-11-15,121
222,526,2083.33,2011-11-18,110
223,811,458.33,2011-11-18,111
224,880,375,2011-11-19,101
225,678,200,2011-11-20,
226,43,300,2011-11-21,123
227,576,416.67,2011-11-21,108
228,915,2083.33,2011-11-23,109
229,51,450,2011-11-24,124
230,155,1458.33,2011-11-25,118
231,391,200,2011-11-28,
232,926,416.67,2011-12-01,119
233,996,1458.33,2011-12-01,102
234,399,375,2011-12-03,122
235,604,2083.33,2011-12-06,100
236,220,83.33,2011-12-08,103
237,397,416.67,2011-12-08,107
238,88,1041.67,2011-12-09,113
239,465,125,2011-12-10,114
240,495,458.33,2011-12-10,104
241,461,1250,2011-12-14,105
242,466,100,2011-12-14,125
243,528,83.33,2011-12-15,121
244,526,2083.33,2011-12-18,110
245,811,458.33,2011-12-18,111
246,880,375,2011-12-19,101
247,576,416.67,2011-12-21,108
248,255,416.67,2011-12-22,126
249,915,2083.33,2011-12-23,109
250,51,450,2011-12-24,124
251,270,450,2011-12-24,128
252,677,1041.67,2011-12-24,127
253,155,1458.33,2011-12-25,118
254,881,400,2011-12-30,129
255,679,200,2011-12-31,
256,926,416.67,2012-01-01,119
257,996,1458.33,2012-01-01,102
258,399,375,2012-01-03,122
259,604,2083.33,2012-01-06,100
260,220,83.33,2012-01-08,103
261,397,416.67,2012-01-08,107
262,88,1041.67,2012-01-09,113
263,465,125,2012-01-10,114
264,495,458.33,2012-01-10,104
265,582,2500,2012-01-11,
266,472,400,2012-01-12,
267,859,100,2012-01-12,
268,419,541.67,2012-01-13,130
269,522,4000,2012-01-13,
270,461,1250,2012-01-14,105
271,528,83.33,2012-01-15,121
272,171,400,2012-01-18,
273,526,2083.33,2012-01-18,110
274,811,458.33,2012-01-18,111
275,880,375,2012-01-19,101
276,883,125,2012-01-19,131
277,576,416.67,2012-01-21,108
278,255,416.67,2012-01-22,126
279,915,2083.33,2012-01-23,109
280,270,450,2012-01-24,128
281,677,1041.67,2012-01-24,127
282,131,100,2012-01-25,
283,155,1458.33,2012-01-25,118
284,67,416.67,2012-01-29,132
285,217,400,2012-01-31,
286,926,416.67,2012-02-01,119
287,996,1458.33,2012-02-01,102
288,269,100,2012-02-03,
289,399,375,2012-02-03,122
290,97,300,2012-02-04,
291,604,2083.33,2012-02-06,100
292,220,83.33,2012-02-08,103
293,397,416.67,2012-02-08,107
294,88,1041.67,2012-02-09,113
295,465,125,2012-02-10,114
296,495,458.33,2012-02-10,104
297,419,541.67,2012-02-13,130
298,461,1250,2012-02-14,105
299,528,83.33,2012-02-15,121
300,311,300,2012-02-16,
301,526,2083.33,2012-02-18,110
302,811,458.33,2012-02-18,111
303,883,125,2012-02-19,131
304,576,416.67,2012-02-21,108
305,255,416.67,2012-02-22,126
306,654,800,2012-02-23,
307,915,2083.33,2012-02-23,109
308,677,1041.67,2012-02-24,127
309,939,416.67,2012-02-24,133
310,155,1458.33,2012-02-25,118
311,699,200,2012-02-27,
312,67,416.67,2012-02-29,132
313,439,100,2012-03-01,
314,926,416.67,2012-03-01,119
315,697,300,2012-03-02,
316,399,375,2012-03-03,122
317,604,2083.33,2012-03-06,100
318,397,416.67,2012-03-08,107
